chapter_name,pdf,audios,videos,pdf_progress,audio_progress,video_progress,book_id,order_number,start_page,end_page
السيرة النبوية للمصلحين 16,chapters/السيرة النبوية للمصلحين 16.pdf,audios/السيرة النبوية للمصلحين 16.mp3,https://youtu.be/Reg6oI7LWnM?si=kWTzZ9gDMEUA3f3g,31,54,54,7,16,291,321
السيرة النبوية للمصلحين 17,chapters/السيرة النبوية للمصلحين 17.pdf,audios/السيرة النبوية للمصلحين 17.mp3,https://youtu.be/OtUHXHbR2no?si=dJpf2aIKh6fPsge0,24,49,49,7,17,322,345
السيرة النبوية للمصلحين 18,chapters/السيرة النبوية للمصلحين 18.pdf,audios/السيرة النبوية للمصلحين 18.mp3,https://youtu.be/ZkWI678KurI?si=pCy5TgifH1-t3Gv6,25,59,59,7,18,346,370
السيرة النبوية للمصلحين 19,chapters/السيرة النبوية للمصلحين 19.pdf,audios/السيرة النبوية للمصلحين 19.mp3,https://youtu.be/cD6TFA7BK10?si=I4Z-HgvY4h8TJPHw,19,49,49,7,19,371,389
السيرة النبوية للمصلحين 20,chapters/السيرة النبوية للمصلحين 20.pdf,audios/السيرة النبوية للمصلحين 20.mp3,https://youtu.be/ntmZwfsK7QE?si=ktrYWTjEpUGz34dV,35,88,88,7,20,390,424
السيرة النبوية للمصلحين 21,chapters/السيرة النبوية للمصلحين 21.pdf,audios/السيرة النبوية للمصلحين 21.mp3,https://youtu.be/DN4OCJRAQPs?si=n5EacX5aN7KgGD4L,28,64,64,7,21,425,452
السيرة النبوية للمصلحين 22,chapters/السيرة النبوية للمصلحين 22.pdf,audios/السيرة النبوية للمصلحين 22.mp3,https://youtu.be/lJhpstRH6HM?si=CQIqUfJIf3Mhp3Zn,14,42,42,7,22,453,466
السيرة النبوية للمصلحين 23,chapters/السيرة النبوية للمصلحين 23.pdf,audios/السيرة النبوية للمصلحين 23.mp3,https://youtu.be/KEEe81Waojg?si=TMsTLtYcnIhZfb6g,16,42,42,7,23,467,482
السيرة النبوية للمصلحين 24,chapters/السيرة النبوية للمصلحين 24.pdf,audios/السيرة النبوية للمصلحين 24.mp3,https://youtu.be/V5WorbklfRg?si=NxzYVwBEw7No7NiE,17,33,33,7,24,483,499
السيرة النبوية للمصلحين 25,chapters/السيرة النبوية للمصلحين 25.pdf,audios/السيرة النبوية للمصلحين 25.mp3,https://youtu.be/smuq30imR5g?si=QAXATkJCWSpWP_3e,15,30,30,7,25,500,514
